Unit Name,Lease Start,Lease End,Previous Lease Start,Previous Lease End,Previous Rent,Rent,Percent Difference,Dollar Difference,Status,Term,Tenant Transfer,Term_Days,Is_Month_To_Month,row_id,tenant_id,current_past_due,current_late_count,ever_conditions_applied,ever_overridden,screening_count,avg_satisfaction,resolved_rate,timely_rate,survey_count,work_order_count,avg_work_order_amount,resident_requested_count,Unit Type,bedrooms,bathrooms,sqft
2503,2021-10-27,2022-10-26,,,,1925.0,,,Did Not Renew,12 month,No,360.0,False,98,T0075,,,True,True,3.0,4.5,0.5,0.5,2.0,4.0,0.0,0.0,Unit Type 12,2.0,1.0,925.0
2203,2021-11-01,2025-10-26,2021-03-27,2022-03-26,0.0,0.0,,0.0,Renewed,47 mo 26 day,Yes,1436.0,False,99,T0009,,,True,False,3.0,5.0,0.8,1.0,5.0,21.0,0.0,0.0,Unit Type 12,2.0,1.0,925.0
2504,2021-11-01,2022-09-30,2021-10-01,2022-09-30,0.0,1915.0,,1915.0,Renewed,11 month,Yes,330.0,False,100,T0076,,,True,True,3.0,,,,,2.0,0.0,0.0,Unit Type 15,2.0,1.0,975.0
2503,2021-11-03,2022-10-31,2021-11-27,2022-11-26,1455.0,0.0,-100.0,-1455.0,Renewed,11 mo 29 day,Yes,359.0,False,101,T0077,,,True,True,3.0,,,,,3.0,0.0,0.0,Unit Type 12,2.0,1.0,925.0
2302,2021-11-27,2022-11-26,2020-11-08,2021-11-26,1450.0,1455.0,0.34,5.0,Renewed,12 month,No,360.0,False,102,T0077,,,True,True,3.0,,,,,5.0,0.0,0.0,Unit Type 5,1.0,1.0,620.0
1905,2022-01-01,2022-12-26,,,,1845.0,,,Did Not Renew,11 mo 26 day,No,356.0,False,103,T0078,,,True,True,3.0,,,,,1.0,0.0,0.0,Unit Type 15,2.0,1.0,975.0
2104,2022-01-01,2022-12-31,2020-12-27,2021-12-26,0.0,1825.0,,1825.0,Renewed,12 month,No,360.0,False,104,T0037,,,True,True,3.0,,,,,7.0,0.0,0.0,Unit Type 15,2.0,1.0,975.0
1403,2022-01-27,2023-01-26,2021-01-27,2022-01-26,0.0,2245.0,,2245.0,Renewed,12 month,No,360.0,False,105,T0006,,,True,True,3.0,,,,,19.0,0.0,0.0,Unit Type 16,2.0,1.0,976.0
1403,2022-01-27,,2021-01-27,2022-01-26,0.0,2245.0,,2245.0,Did Not Renew,Month To Month,No,,True,106,T0006,,,True,True,3.0,,,,,19.0,0.0,0.0,Unit Type 16,2.0,1.0,976.0
2406,2022-03-01,2022-08-26,2022-01-27,2022-02-26,2050.0,2060.0,0.49,10.0,Renewed,5 mo 26 day,No,176.0,False,107,T0079,,,True,True,3.0,,,,,3.0,0.0,0.0,Unit Type 13,2.0,1.0,925.0
